web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,amenities,district,long_lat,lat,long,reservation_status
1704906989-145,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Tibetasia,https://de.yelp.ch/biz/tibetasia-z%C3%BCrich?osq=Restaurants,Tibetasia,4.1,(22 reviews),Himalayisch/Nepalesisch,$$,Tibetisches und Himalaya Spezialitäten,"11:30 AM - 2:00 PM, 6:00 PM - 11:00 PM",Quellenstrasse 6 8005 Zürich,Reservationen möglichLieferung möglichBestellung zum AbholenSitzplätze im Freien,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.384416%2C8.527827&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.384416%2C8.527827&signature=s7SaWL-XjOtt3_7qxfD4aU2eoWU=,47.384416,8.527827,1.0
1704906994-146,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Alten Löwen,https://de.yelp.ch/biz/alten-l%C3%B6wen-z%C3%BCrich?osq=Restaurants,Alten Löwen,4.4,(10 reviews),Schweizer Küche,$$$,"Wilkommen in der Quartierbeiz für Geniesser  Essen Trinken Zufriedenheit! Diese drei Schlagworte
symbolisieren unsere Berufung zur Gastronomie und unsere Freude an der Gastfreundschaft.  Seit
bereits vielen Jahren verzichten wir auf Convenience-Produkte. Bouillonpaste und dergleichen ver…","11:30 AM - 2:00 PM, 6:00 PM - 12:00 AM (Folgetag)",Universitätstrasse 111 8006 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im Freien,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.384990%2C8.548244&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.384990%2C8.548244&signature=9q-FPiSB_2_SbliqK7rv4jdQoSY=,47.38499,8.548244,1.0
1704906998-147,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,YNOS,https://de.yelp.ch/biz/ynos-z%C3%BCrich?osq=Restaurants,YNOS,4.0,(1 review),Bar,,,11:00 AM - 12:00 AM (Folgetag),Europaallee 4 8004 Zürich,,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.378970%2C8.531442&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.378970%2C8.531442&signature=o2IPlUi4ZuaEDtztWzKeA9EqQQs=,47.37897,8.531442,
1704907003-148,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Gamper,https://de.yelp.ch/biz/gamper-z%C3%BCrich?osq=Restaurants,Gamper,5.0,(3 reviews),Schweizer Küche,,,6:00 PM - 12:00 AM (Folgetag),Nietengasse 1 8004 Zürich,Keine ReservierungenKein LieferserviceKeine MitnahmeNicht für Kinder geeignet,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379157%2C8.525048&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379157%2C8.525048&signature=Q5mGLxIIbOnMyZuqLdkNalw1Sd8=,47.379157,8.525048,0.0
1704907007-149,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Rüsterei,https://de.yelp.ch/biz/r%C3%BCsterei-z%C3%BCrich?osq=Restaurants,Rüsterei,4.3,(29 reviews),Modern-Europäisch,$$$,,"12:00 PM - 2:00 PM, 6:00 PM - 12:00 AM (Folgetag)",Kalanderplatz 6 8045 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 3,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.358277%2C8.522759&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.358277%2C8.522759&signature=kwaX2Y1A4Fxk5gKVQ2G-BbCX5Yo=,47.358277,8.522759,1.0
1704907016-150,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=80,La Bottega di Mario,https://de.yelp.ch/biz/la-bottega-di-mario-z%C3%BCrich?osq=Restaurants,La Bottega di Mario,1.0,(1 review),Italienisch,,,11:30 AM - 11:00 PM,Nüschelerstrasse 6 8001 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.371339%2C8.537471&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.371339%2C8.537471&signature=-sMOhGVepqo5zKSnsgRL82FW6v8=,47.371339,8.537471,1.0
1704907020-151,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=80,SimSim Restaurant,https://de.yelp.ch/biz/simsim-restaurant-z%C3%BCrich?osq=Restaurants,SimSim Restaurant,4.5,(2 reviews),Libanesisch,,"Welcome to SimSim, the oriental mezze-grill restaurant in urban style.  Enter and get to know the
urban side of the Orient!  SimSim has something for everyone in a good mood: Lebanese 
specialities and barbecues for young and old, vegans, vegetarians and people that are gluten free…","11:30 AM - 2:00 PM, 5:30 PM - 11:00 PM",Schwamendingenstrasse 16 8050 Zürich,,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.407594%2C8.548044&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.407594%2C8.548044&signature=kRshEAuUQBx0CIyqPqnvmF_SMI4=,47.407594,8.548044,
1704907025-152,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=80,Restaurant Kornhaus,https://de.yelp.ch/biz/restaurant-kornhaus-z%C3%BCrich?osq=Restaurants,Restaurant Kornhaus,4.0,(5 reviews),Schweizer Küche,$$,,10:00 AM - 11:30 PM,Langstrasse 243 8005 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.384362%2C8.531137&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.384362%2C8.531137&signature=sVU9SPfl_zvSVqKj68r_HV4tjHs=,47.384362,8.531137,1.0
1704907029-153,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=80,A Mano,https://de.yelp.ch/biz/a-mano-z%C3%BCrich?osq=Restaurants,A Mano,5.0,(1 review),Italienisch,,,9:00 AM - 4:00 PM,Konradstrasse 40 8005 Zürich,,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.381002%2C8.535403&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.381002%2C8.535403&signature=fAEwQmKzfFVAbs4Te1s9YN3hyT8=,47.381002,8.535403,
1704907034-154,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=80,Amboss Rampe,https://de.yelp.ch/biz/amboss-rampe-z%C3%BCrich?osq=Restaurants,Amboss Rampe,4.2,(15 reviews),Bar,$$,,5:00 PM - 12:00 AM (Folgetag),Zollstrasse 80 8005 Zürich,Keine ReservierungenKein LieferserviceKeine MitnahmeModerate Lautstärke,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.381352%2C8.531487&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.381352%2C8.531487&signature=qr3OzkaqTXxcA6JwVQevGGnc-FY=,47.381352,8.531487,0.0
